text,label
"This is a human-written sentence.",0
"This content was generated by an AI tool.",1
"I enjoy walking in the park during sunny days.",0
"The algorithmic complexities are optimized for performance.",1
"The movie was fantastic; the actors did a great job.",0
"Artificial intelligence has revolutionized many industries.",1
"The quick brown fox jumps over the lazy dog.",0
"Neural networks are the backbone of deep learning.",1
"I cooked pasta for dinner, and it was delicious.",0
"The results of the experiment indicate high accuracy.",1
"My cat loves to sleep on the couch.",0
"The future of AI holds many exciting possibilities.",1
"Reading a book in a cozy chair is my favorite activity.",0
"GPT models can generate coherent text based on prompts.",1
"Going to the beach is relaxing, especially in summer.",0
"The optimization process reduces error rates significantly.",1
"My dog barked at the mailman this morning.",0
"Large language models are capable of complex reasoning tasks.",1
"I painted a beautiful landscape during the weekend.",0
"Transformers have improved natural language understanding.",1
